rank,name,symbol,market_cap,price,circulating_supply,volume(24h),%1h,%24h,%7d,image_url
89,Flow,FLOW,"$655,681,159",$0.4173,"1,571,065,878 FLOW *","$15,752,843",0.23%,-0.26%,4.00%,https://s2.coinmarketcap.com/static/img/coins/32x32/4558.png
90,PAX Gold,PAXG,"$653,446,437","$3,053.88","213,972 PAXG *","$47,828,759",0.15%,0.43%,1.96%,https://s2.coinmarketcap.com/static/img/coins/32x32/4705.png
91,Curve DAO Token,CRV,"$652,983,129",$0.5002,"1,305,333,999 CRV *","$137,869,368",0.79%,5.83%,21.12%,https://s2.coinmarketcap.com/static/img/coins/32x32/6538.png
92,Kaia,KAIA,"$644,541,911",$0.1078,"5,974,970,156 KAIA *","$8,634,576",0.10%,-0.47%,0.91%,https://s2.coinmarketcap.com/static/img/coins/32x32/32880.png
93,FLOKI,FLOKI,"$612,635,575",$0.00006364,"9,626,157,436,595 FLOKI *","$70,755,247",0.44%,1.87%,6.27%,https://s2.coinmarketcap.com/static/img/coins/32x32/10804.png
94,Ethereum Name Service,ENS,"$604,576,571",$16.98,"35,601,062 ENS *","$53,930,896",0.86%,1.10%,4.42%,https://s2.coinmarketcap.com/static/img/coins/32x32/13855.png
95,JasmyCoin,JASMY,"$601,681,073",$0.01216,"49,444,999,677 JASMY *","$75,008,144",0.64%,-2.07%,-9.84%,https://s2.coinmarketcap.com/static/img/coins/32x32/8425.png
96,Helium,HNT,"$593,792,466",$3.30,"179,760,926 HNT","$4,483,102",0.05%,2.06%,6.05%,https://s2.coinmarketcap.com/static/img/coins/32x32/5665.png
97,Pyth Network,PYTH,"$583,333,491",$0.1609,"3,624,987,847 PYTH *","$48,428,861",-0.15%,3.83%,10.84%,https://s2.coinmarketcap.com/static/img/coins/32x32/28177.png
98,Neo,NEO,"$571,949,256",$8.10,"70,538,831 NEO *","$12,456,740",-0.19%,-0.26%,4.17%,https://s2.coinmarketcap.com/static/img/coins/32x32/1376.png
99,Kava,KAVA,"$551,833,097",$0.5096,"1,082,853,478 KAVA *","$21,258,640",-0.81%,-6.20%,7.66%,https://s2.coinmarketcap.com/static/img/coins/32x32/4846.png
